algorithm name,running time, comparison count
bubble-sort,199635021,179999400001
counting-sort,5974,2100003
flash-sort,11022,2609994
heap-sort,80055,17133485
insertion-sort,10428,899998
merge-sort,404577,18645946
quick-sort,9694,7275706
radix-sort,21657,5700086
selection-sort,71375449,90000299999
shaker-sort,20209,600001
shell-sort,30802,15300061
