
bubble-sort,21934637,19999800001
counting-sort,1870,700003
flash-sort,3754,869994
heap-sort,24497,5252567
insertion-sort,1938,299998
merge-sort,90296,5745658
quick-sort,3049,2268922
radix-sort,6033,1600072
selection-sort,7864890,10000099999
shaker-sort,9217,200001
shell-sort,9837,4500051
