algorithm name,running time, comparison count
bubble-sort,221308,199980001
counting-sort,191,70003
flash-sort,434,86994
heap-sort,1989,425873
insertion-sort,210,29998
merge-sort,12519,475242
quick-sort,285,193610
radix-sort,482,130058
selection-sort,79366,100009999
shaker-sort,915,20001
shell-sort,789,360042
