algorithm name,running time, comparison count
bubble-sort,1229958600,499999000001
counting-sort,11105,3499999
flash-sort,25469,4245070
heap-sort,177042,29623559
insertion-sort,257334636,1499998
merge-sort,875895,32017850
quick-sort,67653,12450048
radix-sort,36773,9500086
selection-sort,203032542,250000499999
shaker-sort,771754708,1000001
shell-sort,179048,25500058
