
bubble-sort,49226900,19999800001
counting-sort,2008,700003
flash-sort,4928,848902
heap-sort,28869,5246456
insertion-sort,10203637,299998
merge-sort,117613,5745658
quick-sort,12585,2258594
radix-sort,6107,1600072
selection-sort,8110952,10000099999
shaker-sort,31159818,200001
shell-sort,28872,4500051
