algorithm name,running time, comparison count
bubble-sort,12332181,4999900001
counting-sort,1017,350003
flash-sort,2167,424392
heap-sort,13525,2473088
insertion-sort,2566397,149998
merge-sort,55299,2722826
quick-sort,5637,1079390
radix-sort,3177,800072
selection-sort,2014677,2500049999
shaker-sort,7737695,100001
shell-sort,13042,2100049
