algorithm name,running time, comparison count
bubble-sort,4372970,1799940001
counting-sort,579,210003
flash-sort,1324,254674
heap-sort,7845,1412099
insertion-sort,933503,89998
merge-sort,33685,1559914
quick-sort,3337,625314
radix-sort,1857,480072
selection-sort,728440,900029999
shaker-sort,2784656,60001
shell-sort,7133,1170050
