algorithm name,running time, comparison count
bubble-sort,7174417,4999900001
counting-sort,1143,350003
flash-sort,2174,434994
heap-sort,13777,2469917
insertion-sort,288,149998
merge-sort,52783,2722826
quick-sort,1753,1084458
radix-sort,3574,800072
selection-sort,2655893,2500049999
shaker-sort,143,100001
shell-sort,4317,2100049
