algorithm name,running time, comparison count
bubble-sort,30190822,19999800001
counting-sort,2496,700003
flash-sort,4824,869994
heap-sort,31813,5252567
insertion-sort,629,299998
merge-sort,124414,5745658
quick-sort,4131,2268922
radix-sort,7886,1600072
selection-sort,10960239,10000099999
shaker-sort,265,200001
shell-sort,8406,4500051
