algorithm name,running time, comparison count
bubble-sort,260022506,179999400001
counting-sort,7401,2100003
flash-sort,14143,2609994
heap-sort,103636,17133485
insertion-sort,1918,899998
merge-sort,443737,18645946
quick-sort,14185,7275706
radix-sort,30984,5700086
selection-sort,91575238,90000299999
shaker-sort,869,600001
shell-sort,30194,15300061
