algorithm name,running time, comparison count
bubble-sort,523896,199980001
counting-sort,194,70003
flash-sort,424,86994
heap-sort,1935,425873
insertion-sort,201925,29998
merge-sort,9643,475242
quick-sort,298,193610
radix-sort,502,130058
selection-sort,101839,100009999
shaker-sort,424404,20001
shell-sort,836,360042
