algorithm name,running time, comparison count
bubble-sort,474912931,179999400001
counting-sort,5644,2100003
flash-sort,11047,2609994
heap-sort,77996,17133485
insertion-sort,1102228476,899998
merge-sort,385108,18645946
quick-sort,10634,7275706
radix-sort,21744,5700086
selection-sort,90728726,90000299999
shaker-sort,589040074,600001
shell-sort,40057,15300061
